period,price_firm1,price_firm2,profit_firm1,profit_firm2
0,10,10,0.0,0.0
1,10,10,0.0,0.0
2,10,10,0.0,0.0
3,19,10,0.0,0.0
4,45,10,0.0,0.0
5,10,10,0.0,0.0
6,10,10,0.0,0.0
7,10,10,0.0,0.0
8,17,10,0.0,0.0
9,25,10,0.0,0.0
10,34,10,0.0,0.0
11,10,10,0.0,0.0
12,10,10,0.0,0.0
13,10,10,0.0,0.0
14,10,10,0.0,0.0
15,10,10,0.0,0.0
16,10,10,0.0,0.0
17,10,10,0.0,0.0
18,10,10,0.0,0.0
19,10,10,0.0,0.0
20,10,10,0.0,0.0
21,10,10,0.0,0.0
22,17,10,0.0,0.0
23,10,10,0.0,0.0
24,10,10,0.0,0.0
25,10,10,0.0,0.0
26,33,10,0.0,0.0
27,10,10,0.0,0.0
28,10,10,0.0,0.0
29,10,10,0.0,0.0
30,10,10,0.0,0.0
31,10,10,0.0,0.0
32,10,10,0.0,0.0
33,10,10,0.0,0.0
34,10,10,0.0,0.0
35,29,10,0.0,0.0
36,10,10,0.0,0.0
37,10,10,0.0,0.0
38,10,10,0.0,0.0
39,10,10,0.0,0.0
40,10,10,0.0,0.0
41,10,10,0.0,0.0
42,10,10,0.0,0.0
43,10,11,0.0,0.0
44,10,10,0.0,0.0
45,10,10,0.0,0.0
46,10,10,0.0,0.0
47,10,10,0.0,0.0
48,10,10,0.0,0.0
49,10,10,0.0,0.0
50,10,10,0.0,0.0
51,10,10,0.0,0.0
52,10,10,0.0,0.0
53,10,10,0.0,0.0
54,10,10,0.0,0.0
55,10,10,0.0,0.0
56,10,10,0.0,0.0
57,10,10,0.0,0.0
58,10,10,0.0,0.0
59,10,10,0.0,0.0
60,10,10,0.0,0.0
61,10,10,0.0,0.0
62,10,10,0.0,0.0
63,10,10,0.0,0.0
64,10,10,0.0,0.0
65,10,10,0.0,0.0
66,10,10,0.0,0.0
67,10,10,0.0,0.0
68,10,10,0.0,0.0
69,10,10,0.0,0.0
70,10,10,0.0,0.0
71,10,10,0.0,0.0
72,10,10,0.0,0.0
73,11,18,100.0,0.0
74,11,10,0.0,0.0
75,11,10,0.0,0.0
76,11,10,0.0,0.0
77,11,10,0.0,0.0
78,11,10,0.0,0.0
79,11,10,0.0,0.0
80,11,10,0.0,0.0
81,11,10,0.0,0.0
82,11,10,0.0,0.0
83,12,10,0.0,0.0
84,11,10,0.0,0.0
85,11,20,100.0,0.0
86,11,49,100.0,0.0
87,11,10,0.0,0.0
88,11,10,0.0,0.0
89,11,10,0.0,0.0
90,11,10,0.0,0.0
91,11,10,0.0,0.0
92,34,10,0.0,0.0
93,11,10,0.0,0.0
94,11,10,0.0,0.0
95,11,10,0.0,0.0
96,11,10,0.0,0.0
97,11,10,0.0,0.0
98,25,10,0.0,0.0
99,11,10,0.0,0.0
100,11,10,0.0,0.0
101,11,10,0.0,0.0
102,11,10,0.0,0.0
103,42,10,0.0,0.0
104,11,10,0.0,0.0
105,21,10,0.0,0.0
106,32,10,0.0,0.0
107,11,10,0.0,0.0
108,11,10,0.0,0.0
109,11,10,0.0,0.0
110,11,43,100.0,0.0
111,11,10,0.0,0.0
112,11,16,100.0,0.0
113,11,10,0.0,0.0
114,11,10,0.0,0.0
115,11,48,100.0,0.0
116,11,10,0.0,0.0
117,11,10,0.0,0.0
118,11,10,0.0,0.0
119,11,10,0.0,0.0
120,11,10,0.0,0.0
121,48,10,0.0,0.0
122,11,10,0.0,0.0
123,11,10,0.0,0.0
124,11,42,100.0,0.0
125,11,10,0.0,0.0
126,11,10,0.0,0.0
127,11,10,0.0,0.0
128,11,10,0.0,0.0
129,11,10,0.0,0.0
130,11,10,0.0,0.0
131,11,10,0.0,0.0
132,11,10,0.0,0.0
133,11,10,0.0,0.0
134,11,10,0.0,0.0
135,11,10,0.0,0.0
136,11,10,0.0,0.0
137,11,10,0.0,0.0
138,11,10,0.0,0.0
139,11,10,0.0,0.0
140,11,10,0.0,0.0
141,11,14,100.0,0.0
142,11,10,0.0,0.0
143,11,10,0.0,0.0
144,11,10,0.0,0.0
145,11,10,0.0,0.0
146,11,10,0.0,0.0
147,11,10,0.0,0.0
148,11,10,0.0,0.0
149,11,10,0.0,0.0
150,11,10,0.0,0.0
151,11,10,0.0,0.0
152,11,10,0.0,0.0
153,11,10,0.0,0.0
154,11,13,100.0,0.0
155,11,10,0.0,0.0
156,11,10,0.0,0.0
157,11,10,0.0,0.0
158,11,36,100.0,0.0
159,11,10,0.0,0.0
160,11,10,0.0,0.0
161,18,10,0.0,0.0
162,33,10,0.0,0.0
163,11,10,0.0,0.0
164,11,10,0.0,0.0
165,11,10,0.0,0.0
166,11,10,0.0,0.0
167,11,10,0.0,0.0
168,11,10,0.0,0.0
169,11,10,0.0,0.0
170,11,10,0.0,0.0
171,36,10,0.0,0.0
172,11,10,0.0,0.0
173,11,10,0.0,0.0
174,11,10,0.0,0.0
175,11,10,0.0,0.0
176,11,10,0.0,0.0
177,11,10,0.0,0.0
178,11,10,0.0,0.0
179,11,10,0.0,0.0
180,11,10,0.0,0.0
181,11,10,0.0,0.0
182,11,10,0.0,0.0
183,11,10,0.0,0.0
184,11,10,0.0,0.0
185,11,10,0.0,0.0
186,48,10,0.0,0.0
187,11,10,0.0,0.0
188,11,10,0.0,0.0
189,11,10,0.0,0.0
190,11,10,0.0,0.0
191,11,10,0.0,0.0
192,11,10,0.0,0.0
193,11,10,0.0,0.0
194,11,10,0.0,0.0
195,16,10,0.0,0.0
196,11,10,0.0,0.0
197,11,10,0.0,0.0
198,11,10,0.0,0.0
199,11,32,100.0,0.0
200,11,10,0.0,0.0
201,11,10,0.0,0.0
202,11,10,0.0,0.0
203,11,10,0.0,0.0
204,11,10,0.0,0.0
205,11,10,0.0,0.0
206,11,10,0.0,0.0
207,11,25,100.0,0.0
208,11,10,0.0,0.0
209,11,10,0.0,0.0
210,11,10,0.0,0.0
211,42,10,0.0,0.0
212,11,10,0.0,0.0
213,11,10,0.0,0.0
214,11,10,0.0,0.0
215,49,10,0.0,0.0
216,11,10,0.0,0.0
217,11,10,0.0,0.0
218,34,10,0.0,0.0
219,15,16,500.0,0.0
220,15,10,0.0,0.0
221,15,49,500.0,0.0
222,15,10,0.0,0.0
223,15,10,0.0,0.0
224,15,10,0.0,0.0
225,15,10,0.0,0.0
226,15,10,0.0,0.0
227,15,10,0.0,0.0
228,38,10,0.0,0.0
229,38,10,0.0,0.0
230,15,10,0.0,0.0
231,15,10,0.0,0.0
232,15,10,0.0,0.0
233,15,10,0.0,0.0
234,15,47,500.0,0.0
235,15,10,0.0,0.0
236,15,10,0.0,0.0
237,15,10,0.0,0.0
238,15,10,0.0,0.0
239,15,10,0.0,0.0
240,15,10,0.0,0.0
241,15,10,0.0,0.0
242,15,10,0.0,0.0
243,15,10,0.0,0.0
244,15,10,0.0,0.0
245,15,10,0.0,0.0
246,15,36,500.0,0.0
247,15,10,0.0,0.0
248,15,10,0.0,0.0
249,15,10,0.0,0.0
250,15,10,0.0,0.0
251,15,10,0.0,0.0
252,15,10,0.0,0.0
253,15,10,0.0,0.0
254,15,10,0.0,0.0
255,15,10,0.0,0.0
256,15,10,0.0,0.0
257,15,10,0.0,0.0
258,15,10,0.0,0.0
259,15,10,0.0,0.0
260,15,26,500.0,0.0
261,15,10,0.0,0.0
262,15,10,0.0,0.0
263,15,10,0.0,0.0
264,15,10,0.0,0.0
265,15,10,0.0,0.0
266,15,10,0.0,0.0
267,15,10,0.0,0.0
268,15,10,0.0,0.0
269,15,10,0.0,0.0
270,30,42,2000.0,0.0
271,30,23,0.0,1300.0
272,30,23,0.0,1300.0
273,30,23,0.0,1300.0
274,30,23,0.0,1300.0
275,19,23,900.0,0.0
276,30,23,0.0,1300.0
277,30,23,0.0,1300.0
278,30,23,0.0,1300.0
279,30,23,0.0,1300.0
280,19,23,900.0,0.0
281,19,23,900.0,0.0
282,19,23,900.0,0.0
283,12,26,200.0,0.0
284,19,23,900.0,0.0
285,19,23,900.0,0.0
286,26,23,0.0,1300.0
287,19,23,900.0,0.0
288,19,23,900.0,0.0
289,19,23,900.0,0.0
290,19,23,900.0,0.0
291,19,23,900.0,0.0
292,19,23,900.0,0.0
293,19,23,900.0,0.0
294,19,23,900.0,0.0
295,19,23,900.0,0.0
296,26,23,0.0,1300.0
297,19,23,900.0,0.0
298,19,23,900.0,0.0
299,19,23,900.0,0.0
300,19,23,900.0,0.0
301,19,23,900.0,0.0
302,19,12,0.0,200.0
303,19,23,900.0,0.0
304,19,23,900.0,0.0
305,29,47,1900.0,0.0
306,19,23,900.0,0.0
307,31,23,0.0,1300.0
308,19,23,900.0,0.0
309,19,23,900.0,0.0
310,19,23,900.0,0.0
311,19,23,900.0,0.0
312,19,23,900.0,0.0
313,19,23,900.0,0.0
314,19,23,900.0,0.0
315,45,23,0.0,1300.0
316,19,23,900.0,0.0
317,19,23,900.0,0.0
318,19,23,900.0,0.0
319,28,23,0.0,1300.0
320,19,23,900.0,0.0
321,19,17,0.0,700.0
322,19,46,900.0,0.0
323,19,23,900.0,0.0
324,19,23,900.0,0.0
325,19,23,900.0,0.0
326,19,23,900.0,0.0
327,19,23,900.0,0.0
328,19,44,900.0,0.0
329,47,23,0.0,1300.0
330,19,23,900.0,0.0
331,19,23,900.0,0.0
332,19,23,900.0,0.0
333,19,23,900.0,0.0
334,19,23,900.0,0.0
335,19,23,900.0,0.0
336,19,23,900.0,0.0
337,19,23,900.0,0.0
338,19,23,900.0,0.0
339,19,23,900.0,0.0
340,19,23,900.0,0.0
341,19,23,900.0,0.0
342,19,23,900.0,0.0
343,19,17,0.0,700.0
344,45,35,0.0,2500.0
345,19,35,900.0,0.0
346,19,35,900.0,0.0
347,19,35,900.0,0.0
348,19,35,900.0,0.0
349,19,35,900.0,0.0
350,19,35,900.0,0.0
351,19,17,0.0,700.0
352,19,17,0.0,700.0
353,19,17,0.0,700.0
354,19,17,0.0,700.0
355,19,17,0.0,700.0
356,19,17,0.0,700.0
357,19,17,0.0,700.0
358,19,17,0.0,700.0
359,19,17,0.0,700.0
360,19,17,0.0,700.0
361,19,17,0.0,700.0
362,19,17,0.0,700.0
363,19,17,0.0,700.0
364,19,17,0.0,700.0
365,19,17,0.0,700.0
366,29,17,0.0,700.0
367,19,17,0.0,700.0
368,29,17,0.0,700.0
369,19,17,0.0,700.0
370,29,17,0.0,700.0
371,19,17,0.0,700.0
372,29,17,0.0,700.0
373,19,17,0.0,700.0
374,29,46,1900.0,0.0
375,46,17,0.0,700.0
376,29,17,0.0,700.0
377,29,27,0.0,1700.0
378,29,17,0.0,700.0
379,29,17,0.0,700.0
380,29,17,0.0,700.0
381,29,17,0.0,700.0
382,29,30,1900.0,0.0
383,29,17,0.0,700.0
384,11,17,100.0,0.0
385,29,17,0.0,700.0
386,29,17,0.0,700.0
387,29,17,0.0,700.0
388,29,17,0.0,700.0
389,29,17,0.0,700.0
390,29,17,0.0,700.0
391,29,17,0.0,700.0
392,29,17,0.0,700.0
393,29,17,0.0,700.0
394,29,39,1900.0,0.0
395,29,17,0.0,700.0
396,30,17,0.0,700.0
397,29,17,0.0,700.0
398,29,26,0.0,1600.0
399,29,17,0.0,700.0
400,29,17,0.0,700.0
401,29,17,0.0,700.0
402,29,17,0.0,700.0
403,29,17,0.0,700.0
