period,price_firm1,price_firm2,profit_firm1,profit_firm2
0,21,32,1100.0,0.0
1,15,38,500.0,0.0
2,19,11,0.0,100.0
3,41,45,3100.0,0.0
4,49,13,0.0,300.0
5,23,38,1300.0,0.0
6,40,20,0.0,1000.0
7,49,39,0.0,2900.0
8,33,22,0.0,1200.0
9,17,10,0.0,0.0
10,27,17,0.0,700.0
11,39,41,2900.0,0.0
12,47,37,0.0,2700.0
13,47,17,0.0,700.0
14,29,44,1900.0,0.0
15,19,20,900.0,0.0
16,38,37,0.0,2700.0
17,30,38,2000.0,0.0
18,18,36,800.0,0.0
19,46,44,0.0,3400.0
20,17,10,0.0,0.0
21,11,10,0.0,0.0
22,31,33,2100.0,0.0
23,10,19,0.0,0.0
24,23,41,1300.0,0.0
25,26,32,1600.0,0.0
26,29,40,1900.0,0.0
27,32,10,0.0,0.0
28,24,32,1400.0,0.0
29,27,22,0.0,1200.0
30,39,44,2900.0,0.0
31,37,34,0.0,2400.0
32,49,19,0.0,900.0
33,31,42,2100.0,0.0
34,11,22,100.0,0.0
35,19,29,900.0,0.0
36,42,19,0.0,900.0
37,10,34,0.0,0.0
38,11,21,100.0,0.0
39,17,13,0.0,300.0
40,40,22,0.0,1200.0
41,48,36,0.0,2600.0
42,32,23,0.0,1300.0
43,23,46,1300.0,0.0
44,42,26,0.0,1600.0
45,23,31,1300.0,0.0
46,18,17,0.0,700.0
47,15,47,500.0,0.0
48,35,15,0.0,500.0
49,47,21,0.0,1100.0
50,37,34,0.0,2400.0
51,25,48,1500.0,0.0
52,38,42,2800.0,0.0
53,31,19,0.0,900.0
54,22,46,1200.0,0.0
55,31,29,0.0,1900.0
56,45,31,0.0,2100.0
57,10,45,0.0,0.0
58,31,44,2100.0,0.0
59,24,24,700.0,700.0
60,31,35,2100.0,0.0
61,27,19,0.0,900.0
62,28,16,0.0,600.0
63,38,17,0.0,700.0
64,16,27,600.0,0.0
65,29,49,1900.0,0.0
66,49,12,0.0,200.0
67,40,26,0.0,1600.0
68,15,49,500.0,0.0
69,14,45,400.0,0.0
70,33,33,1150.0,1150.0
71,28,10,0.0,0.0
72,46,18,0.0,800.0
73,26,34,1600.0,0.0
74,16,38,600.0,0.0
75,32,10,0.0,0.0
76,10,25,0.0,0.0
77,42,11,0.0,100.0
78,34,42,2400.0,0.0
79,23,41,1300.0,0.0
80,46,46,1800.0,1800.0
81,15,15,250.0,250.0
82,47,11,0.0,100.0
83,13,38,300.0,0.0
84,40,31,0.0,2100.0
85,19,24,900.0,0.0
86,46,28,0.0,1800.0
87,20,14,0.0,400.0
88,18,14,0.0,400.0
89,39,28,0.0,1800.0
90,10,24,0.0,0.0
91,38,13,0.0,300.0
92,34,12,0.0,200.0
