observation_date,QJPPAMUSDA
1964-10-01,97.060
1965-01-01,100.144
1965-04-01,102.418
1965-07-01,107.638
1965-10-01,114.134
1966-01-01,117.300
1966-04-01,120.030
1966-07-01,126.067
1966-10-01,132.657
1967-01-01,137.584
1967-04-01,141.792
1967-07-01,148.618
1967-10-01,156.648
1968-01-01,161.470
1968-04-01,166.642
1968-07-01,174.506
1968-10-01,184.137
1969-01-01,190.469
1969-04-01,197.183
1969-07-01,207.372
1969-10-01,219.498
1970-01-01,225.395
1970-04-01,232.770
1970-07-01,244.585
1970-10-01,258.920
1971-01-01,269.271
1971-04-01,281.588
1971-07-01,316.545
1971-10-01,359.363
1972-01-01,385.182
1972-04-01,403.354
1972-07-01,427.045
1972-10-01,458.061
1973-01-01,542.998
1973-04-01,571.303
1973-07-01,593.582
1973-10-01,593.126
1974-01-01,619.168
1974-04-01,618.820
1974-07-01,608.695
1974-10-01,629.774
1975-01-01,661.513
1975-04-01,680.356
1975-07-01,685.609
1975-10-01,713.326
1976-01-01,744.180
1976-04-01,766.122
1976-07-01,823.522
1976-10-01,838.979
1977-01-01,903.728
1977-04-01,953.857
1977-07-01,993.281
1977-10-01,1131.983
1978-01-01,1234.560
1978-04-01,1360.325
1978-07-01,1511.843
1978-10-01,1535.601
1979-01-01,1427.449
1979-04-01,1400.159
1979-07-01,1405.129
1979-10-01,1363.216
1980-01-01,1333.020
1980-04-01,1556.325
1980-07-01,1643.996
1980-10-01,1767.299
1981-01-01,1736.471
1981-04-01,1634.705
1981-07-01,1634.508
1981-10-01,1792.871
1982-01-01,1621.068
1982-04-01,1586.082
1982-07-01,1553.973
1982-10-01,1833.724
1983-01-01,1843.304
1983-04-01,1856.046
1983-07-01,1935.818
1983-10-01,2027.671
1984-01-01,2130.813
1984-04-01,2033.990
1984-07-01,2031.366
1984-10-01,2028.576
1985-01-01,2077.531
1985-04-01,2102.031
1985-07-01,2473.280
1985-10-01,2747.527
1986-01-01,3126.615
1986-04-01,3458.555
1986-07-01,3769.816
1986-10-01,3762.214
1987-01-01,4191.844
1987-04-01,4353.922
1987-07-01,4529.747
1987-10-01,5641.710
1988-01-01,5621.810
1988-04-01,5330.434
1988-07-01,5460.368
1988-10-01,6093.660
1989-01-01,5878.342
1989-04-01,5541.568
1989-07-01,5946.829
1989-10-01,6002.393
1990-01-01,5681.398
1990-04-01,5956.714
1990-07-01,6757.374
1990-10-01,7057.165
1991-01-01,6886.992
1991-04-01,7090.349
1991-07-01,7467.205
1991-10-01,8109.478
1992-01-01,7637.512
1992-04-01,8126.333
1992-07-01,8643.017
1992-10-01,8429.450
1993-01-01,9178.913
1993-04-01,10012.679
1993-07-01,10114.987
1993-10-01,9636.362
1994-01-01,10440.481
1994-04-01,10810.544
1994-07-01,10992.675
1994-10-01,10975.164
1995-01-01,12527.494
1995-04-01,12810.270
1995-07-01,11095.272
1995-10-01,10742.890
1996-01-01,10393.387
1996-04-01,10062.578
1996-07-01,9898.427
1996-10-01,9594.709
1997-01-01,8940.257
1997-04-01,9636.525
1997-07-01,9105.351
1997-10-01,8617.636
1998-01-01,8304.715
1998-04-01,7890.588
1998-07-01,8094.603
1998-10-01,9393.239
1999-01-01,8795.781
1999-04-01,8549.783
1999-07-01,9734.806
1999-10-01,10145.518
2000-01-01,9949.999
2000-04-01,9585.506
2000-07-01,9306.907
2000-10-01,8742.375
2001-01-01,7928.685
2001-04-01,7882.846
2001-07-01,8167.784
2001-10-01,7429.425
2002-01-01,7255.277
2002-04-01,8014.444
2002-07-01,7710.043
2002-10-01,7918.658
2003-01-01,7796.121
2003-04-01,7554.998
2003-07-01,8105.247
2003-10-01,8384.762
2004-01-01,8509.747
2004-04-01,8004.113
2004-07-01,7830.730
2004-10-01,8466.919
2005-01-01,8174.095
2005-04-01,7792.139
2005-07-01,7682.061
2005-10-01,7415.100
2006-01-01,7396.874
2006-04-01,7559.180
2006-07-01,7369.772
2006-10-01,7321.034
2007-01-01,7369.926
2007-04-01,6949.443
2007-07-01,7476.579
2007-10-01,7739.086
2008-01-01,8593.999
2008-04-01,8182.189
2008-07-01,8192.099
2008-10-01,9659.357
2009-01-01,8778.399
2009-04-01,8961.371
2009-07-01,9561.466
2009-10-01,9228.171
2010-01-01,9001.200
2010-04-01,9419.129
2010-07-01,9969.559
2010-10-01,10163.479
2011-01-01,9903.504
2011-04-01,10117.928
2011-07-01,10588.855
2011-10-01,10509.484
2012-01-01,9895.751
2012-04-01,10061.959
2012-07-01,10361.535
2012-10-01,9398.282
2013-01-01,8560.554
2013-04-01,8133.089
2013-07-01,8292.477
2013-10-01,7777.110
2014-01-01,7899.931
2014-04-01,7999.912
2014-07-01,7420.659
2014-10-01,6873.525
2015-01-01,6862.506
2015-04-01,6675.968
2015-07-01,6838.780
2015-10-01,6900.093
2016-01-01,7370.817
2016-04-01,8103.610
2016-07-01,8305.385
2016-10-01,7272.074
2017-01-01,7654.748
2017-04-01,7637.785
2017-07-01,7648.253
2017-10-01,7705.738
2018-01-01,8172.351
2018-04-01,7906.675
2018-07-01,7778.983
2018-10-01,8109.978
2019-01-01,8098.084
2019-04-01,8371.148
2019-07-01,8453.866
2019-10-01,8503.438
2020-01-01,8570.175
2020-04-01,9041.577
2020-07-01,9302.814
2020-10-01,9648.485
2021-01-01,9015.020
2021-04-01,9093.894
2021-07-01,9014.785
2021-10-01,8883.716
2022-01-01,8409.500
2022-04-01,7579.273
2022-07-01,7175.302
2022-10-01,7939.221
2023-01-01,7876.190
2023-04-01,7305.248
2023-07-01,7153.135
2023-10-01,7614.599
2024-01-01,7177.672
2024-04-01,6791.055
