observation_date,NAEXKP01GBQ652S
1960-01-01,142565000000.00000
1960-04-01,141565000000.00000
1960-07-01,143674000000.00000
1960-10-01,144509000000.00000
1961-01-01,146876000000.00000
1961-04-01,147484000000.00000
1961-07-01,146753000000.00000
1961-10-01,146476000000.00000
1962-01-01,147109000000.00000
1962-04-01,148500000000.00000
1962-07-01,149408000000.00000
1962-10-01,148870000000.00000
1963-01-01,149550000000.00000
1963-04-01,156027000000.00000
1963-07-01,156716000000.00000
1963-10-01,160273000000.00000
1964-01-01,161333000000.00000
1964-04-01,164347000000.00000
1964-07-01,164952000000.00000
1964-10-01,167430000000.00000
1965-01-01,166975000000.00000
1965-04-01,167074000000.00000
1965-07-01,168424000000.00000
1965-10-01,169502000000.00000
1966-01-01,169749000000.00000
1966-04-01,170745000000.00000
1966-07-01,171303000000.00000
1966-10-01,170622000000.00000
1967-01-01,172902000000.00000
1967-04-01,175314000000.00000
1967-07-01,176021000000.00000
1967-10-01,176978000000.00000
1968-01-01,183476000000.00000
1968-04-01,182717000000.00000
1968-07-01,186277000000.00000
1968-10-01,186998000000.00000
1969-01-01,186620000000.00000
1969-04-01,188017000000.00000
1969-07-01,189030000000.00000
1969-10-01,189939000000.00000
1970-01-01,188748000000.00000
1970-04-01,193258000000.00000
1970-07-01,195099000000.00000
1970-10-01,196872000000.00000
1971-01-01,195942000000.00000
1971-04-01,199456000000.00000
1971-07-01,202884000000.00000
1971-10-01,203687000000.00000
1972-01-01,204098000000.00000
1972-04-01,209482000000.00000
1972-07-01,210040000000.00000
1972-10-01,213318000000.00000
1973-01-01,223780000000.00000
1973-04-01,224213000000.00000
1973-07-01,222122000000.00000
1973-10-01,221266000000.00000
1974-01-01,215122000000.00000
1974-04-01,218215000000.00000
1974-07-01,219517000000.00000
1974-10-01,216301000000.00000
1975-01-01,216390000000.00000
1975-04-01,212882000000.00000
1975-07-01,212192000000.00000
1975-10-01,214585000000.00000
1976-01-01,218180000000.00000
1976-04-01,217883000000.00000
1976-07-01,220587000000.00000
1976-10-01,225228000000.00000
1977-01-01,225362000000.00000
1977-04-01,223815000000.00000
1977-07-01,225295000000.00000
1977-10-01,229115000000.00000
1978-01-01,231258000000.00000
1978-04-01,233910000000.00000
1978-07-01,237107000000.00000
1978-10-01,239186000000.00000
1979-01-01,238472000000.00000
1979-04-01,248867000000.00000
1979-07-01,243369000000.00000
1979-10-01,245858000000.00000
1980-01-01,243513000000.00000
1980-04-01,238722000000.00000
1980-07-01,238432000000.00000
1980-10-01,235866000000.00000
1981-01-01,235712000000.00000
1981-04-01,236272000000.00000
1981-07-01,238846000000.00000
1981-10-01,239131000000.00000
1982-01-01,239578000000.00000
1982-04-01,242095000000.00000
1982-07-01,242639000000.00000
1982-10-01,244317000000.00000
1983-01-01,249032000000.00000
1983-04-01,250761000000.00000
1983-07-01,253655000000.00000
1983-10-01,255533000000.00000
1984-01-01,257683000000.00000
1984-04-01,255100000000.00000
1984-07-01,256975000000.00003
1984-10-01,261627000000.00000
1985-01-01,264127000000.00000
1985-04-01,269786999999.99997
1985-07-01,269737000000.00003
1985-10-01,269896000000.00000
1986-01-01,272720000000.00003
1986-04-01,275136000000.00000
1986-07-01,276863000000.00000
1986-10-01,282193000000.00000
1987-01-01,284172000000.00000
1987-04-01,288385000000.00000
1987-07-01,295493000000.00000
1987-10-01,298855000000.00000
1988-01-01,303698000000.00000
1988-04-01,305281000000.00000
1988-07-01,309097000000.00000
1988-10-01,311574000000.00000
1989-01-01,313083000000.00000
1989-04-01,315039000000.00000
1989-07-01,315554000000.00000
1989-10-01,315515000000.00000
1990-01-01,317117000000.00000
1990-04-01,319239000000.00000
1990-07-01,315744000000.00000
1990-10-01,314148000000.00000
1991-01-01,312596000000.00000
1991-04-01,312235000000.00000
1991-07-01,311624000000.00000
1991-10-01,312006000000.00000
1992-01-01,311904000000.00000
1992-04-01,311418000000.00000
1992-07-01,312896000000.00000
1992-10-01,315307000000.00000
1993-01-01,316882000000.00000
1993-04-01,318302000000.00000
1993-07-01,321218000000.00000
1993-10-01,323400000000.00000
1994-01-01,326585000000.00000
1994-04-01,329584000000.00000
1994-07-01,332911000000.00000
1994-10-01,334363000000.00000
1995-01-01,336090000000.00000
1995-04-01,336789000000.00000
1995-07-01,340542000000.00000
1995-10-01,341602000000.00000
1996-01-01,343859000000.00000
1996-04-01,344979000000.00000
1996-07-01,348214000000.00000
1996-10-01,352958000000.00000
1997-01-01,358611000000.00000
1997-04-01,362573000000.00000
1997-07-01,365942000000.00000
1997-10-01,371341000000.00000
1998-01-01,374037000000.00000
1998-04-01,376421000000.00000
1998-07-01,377650000000.00000
1998-10-01,380155000000.00000
1999-01-01,382789000000.00000
1999-04-01,384605000000.00000
1999-07-01,390758000000.00000
1999-10-01,396357000000.00000
2000-01-01,401242000000.00000
2000-04-01,404196000000.00000
2000-07-01,406795000000.00000
2000-10-01,409411000000.00000
2001-01-01,413054000000.00000
2001-04-01,414878000000.00000
2001-07-01,417085000000.00000
2001-10-01,418445000000.00000
2002-01-01,419534000000.00000
2002-04-01,421587000000.00000
2002-07-01,424425000000.00000
2002-10-01,427725000000.00000
2003-01-01,430832000000.00000
2003-04-01,434837000000.00000
2003-07-01,438710000000.00000
2003-10-01,442172000000.00000
2004-01-01,443853000000.00000
2004-04-01,446443000000.00000
2004-07-01,448171000000.00000
2004-10-01,450464000000.00000
2005-01-01,453784000000.00000
2005-04-01,457557000000.00000
2005-07-01,461135000000.00000
2005-10-01,465451000000.00000
2006-01-01,467840000000.00000
2006-04-01,469655000000.00000
2006-07-01,470918000000.00000
2006-10-01,473372000000.00000
2007-01-01,477823000000.00000
2007-04-01,481314000000.00000
2007-07-01,484544000000.00000
2007-10-01,487413000000.00000
2008-01-01,489783000000.00000
2008-04-01,487386000000.00000
2008-07-01,479872000000.00000
2008-10-01,469694000000.00000
2009-01-01,460105000000.00000
2009-04-01,458599000000.00000
2009-07-01,458875000000.00000
2009-10-01,460238000000.00000
2010-01-01,464543000000.00000
2010-04-01,469606000000.00000
2010-07-01,472199000000.00000
2010-10-01,472612000000.00000
2011-01-01,473819000000.00000
2011-04-01,474365000000.00000
2011-07-01,475813000000.00000
2011-10-01,476479000000.00000
2012-01-01,480632000000.00000
2012-04-01,479979000000.00000
2012-07-01,484579000000.00000
2012-10-01,484039000000.00000
2013-01-01,485409000000.00000
2013-04-01,488930000000.00000
2013-07-01,493002000000.00000
2013-10-01,496466000000.00000
2014-01-01,500552000000.00000
2014-04-01,504939000000.00000
2014-07-01,508741000000.00000
2014-10-01,512333999999.99994
2015-01-01,513850000000.00000
2015-04-01,516876000000.00000
2015-07-01,518914999999.99994
2015-10-01,521919999999.99994
2016-01-01,523813000000.00000
2016-04-01,526750000000.00000
2016-07-01,528712000000.00000
2016-10-01,532082000000.00000
2017-01-01,536566000000.00006
2017-04-01,540020000000.00000
2017-07-01,543452000000.00000
2017-10-01,547376999999.99994
2018-01-01,547688000000.00000
2018-04-01,548600000000.00000
2018-07-01,550425000000.00000
2018-10-01,551128000000.00000
2019-01-01,555141000000.00000
2019-04-01,556932000000.00000
2019-07-01,560987000000.00000
2019-10-01,560861000000.00000
2020-01-01,545597000000.00000
2020-04-01,434718000000.00000
2020-07-01,507643000000.00000
2020-10-01,514530999999.99994
2021-01-01,509261000000.00000
2021-04-01,546578999999.99994
2021-07-01,555956000000.00000
2021-10-01,564407000000.00000
2022-01-01,567396000000.00000
2022-04-01,567889000000.00000
2022-07-01,567445000000.00000
2022-10-01,568034000000.00000
2023-01-01,569472000000.00000
2023-04-01,569687000000.00000
2023-07-01,568953000000.00000
